"wiek","presc.","astygmatyzm","łzawienie","OKULARY"
młody,myope,nie,niskie,zbędne
młody,myope,nie,normalne,lekkie
młody,myope,tak,niskie,zbędne
młody,myope,tak,normalne,mocne
młody,hypermetrope,nie,niskie,zbędne
młody,hypermetrope,nie,normalne,lekkie
młody,hypermetrope,tak,niskie,zbędne
młody,hypermetrope,tak,normalne,mocne
pre-presbyopic,myope,nie,niskie,zbędne
pre-presbyopic,myope,nie,normalne,lekkie
pre-presbyopic,myope,tak,niskie,zbędne
pre-presbyopic,myope,tak,normalne,mocne
pre-presbyopic,hypermetrope,nie,niskie,zbędne
pre-presbyopic,hypermetrope,nie,normalne,lekkie
pre-presbyopic,hypermetrope,tak,niskie,zbędne
pre-presbyopic,hypermetrope,tak,normalne,zbędne
presbyopic,myope,nie,niskie,zbędne
presbyopic,myope,nie,normalne,zbędne
presbyopic,myope,tak,niskie,zbędne
presbyopic,myope,tak,normalne,mocne
presbyopic,hypermetrope,nie,niskie,zbędne
presbyopic,hypermetrope,nie,normalne,lekkie
presbyopic,hypermetrope,tak,niskie,zbędne
presbyopic,hypermetrope,tak,normalne,zbędne